Day_Count,Date,China,India,Indonesia,Pakistan,United_States
1,1/2/2020,11809,1,0,0,7
2,2/2/2020,14399,2,0,0,8
3,3/2/2020,17211,2,0,0,11
4,4/2/2020,20448,3,0,0,11
5,5/2/2020,24320,3,0,0,11
6,6/2/2020,28047,3,0,0,12
7,7/2/2020,31207,3,0,0,12
8,8/2/2020,34625,3,0,0,12
9,9/2/2020,37232,3,0,0,12
10,10/2/2020,40206,3,0,0,12
11,11/2/2020,42696,3,0,0,13
12,12/2/2020,44724,3,0,0,13
13,13-02-2020,59865,3,0,0,14
14,14-02-2020,64021,3,0,0,15
15,15-02-2020,66559,3,0,0,15
16,16-02-2020,68566,3,0,0,15
17,17-02-2020,70618,3,0,0,15
18,18-02-2020,72508,3,0,0,15
19,19-02-2020,74258,3,0,0,15
20,20-02-2020,74652,3,0,0,15
21,21-02-2020,75543,3,0,0,16
22,22-02-2020,76369,3,0,0,35
23,23-02-2020,77016,3,0,0,35
24,24-02-2020,77234,3,0,0,35
25,25-02-2020,77749,3,0,0,53
26,26-02-2020,78159,3,0,0,53
27,27-02-2020,78598,3,0,2,59
28,28-02-2020,78927,3,0,2,60
29,29-02-2020,79355,3,0,2,66
30,1/3/2020,79929,3,0,4,69
31,2/3/2020,80134,3,2,4,89
32,3/3/2020,80261,5,2,5,103
33,4/3/2020,80380,6,2,5,125
34,5/3/2020,80497,28,3,6,159
35,6/3/2020,80667,29,3,6,233
36,7/3/2020,80768,31,4,6,338
37,8/3/2020,80814,34,5,8,433
38,9/3/2020,80859,40,6,12,554
39,10/3/2020,80879,44,12,16,754
40,11/3/2020,80908,50,19,16,1025
41,12/3/2020,80932,73,34,20,1312
42,13-03-2020,80954,75,50,21,1663
43,14-03-2020,80973,83,69,21,2174
44,15-03-2020,80995,90,96,30,2951
45,16-03-2020,81020,93,117,31,3774
46,17-03-2020,81063,125,134,187,4661
47,18-03-2020,81086,137,172,187,6427
48,19-03-2020,81130,165,172,302,9415
49,20-03-2020,81229,191,227,478,14250
50,21-03-2020,81281,231,309,495,19624
51,22-03-2020,81346,320,450,646,26747
52,23-03-2020,81484,439,514,784,35206
53,24-03-2020,81553,492,579,887,46442
54,25-03-2020,81631,562,686,991,55231
55,26-03-2020,81733,649,790,1057,69194
56,27-03-2020,81827,724,893,1197,85991
57,28-03-2020,81946,873,1046,1197,104686
58,29-03-2020,82059,979,1155,1408,124665
59,30-03-2020,82157,1071,1285,1526,143025
60,31-03-2020,82241,1251,1414,1625,164620
61,1/4/2020,82295,1397,1528,2039,189618
62,2/4/2020,82395,1965,1677,2291,216721
63,3/4/2020,82465,2301,1790,2291,245540
64,4/4/2020,82527,2902,1986,2291,277965
65,5/4/2020,82575,3374,2092,2450,312237
66,6/4/2020,82642,4067,2273,3277,337635
67,7/4/2020,82698,4421,2491,3864,368196
68,8/4/2020,82784,5194,2738,4072,398809
69,9/4/2020,82870,5734,2956,4322,432132
70,10/4/2020,82925,6412,3293,4601,466033
71,11/4/2020,83004,7447,3512,4788,501560
72,12/4/2020,83097,8356,3842,5038,529951
73,13-04-2020,83209,9152,4241,5374,557571
74,14-04-2020,83303,10363,4557,5716,582594
75,15-04-2020,83352,11438,4839,5988,609516
76,16-04-2020,83402,12380,5136,6505,639664
77,17-04-2020,83754,13387,5516,7025,671331
78,18-04-2020,83785,14378,5923,7481,702164
79,19-04-2020,83803,15712,6248,7993,735086
80,20-04-2020,83817,17265,6575,8418,759687
81,21-04-2020,83849,18600,6760,9216,787752
82,22-04-2020,83864,19984,7135,9749,825041
83,23-04-2020,83876,21393,7418,9749,842629
84,24-04-2020,83884,23077,7775,11155,869172
85,25-04-2020,83899,24506,8211,11940,890524
86,26-04-2020,83909,26496,8607,12723,939053
87,27-04-2020,83912,27892,8882,13328,965910
88,28-04-2020,83938,29435,9096,14079,988451
89,29-04-2020,83940,31332,9511,14885,1012583
90,30-04-2020,83944,33050,9771,15759,1039909
91,1/5/2020,83956,35043,10118,16817,1069826
92,2/5/2020,83959,37336,10551,18114,1103781
93,3/5/2020,83961,39980,10843,19103,1133069
94,4/5/2020,83964,42533,11192,20186,1158041
95,5/5/2020,83966,46433,11587,21501,1180634
96,6/5/2020,83968,49391,12071,22550,1204475
97,7/5/2020,83970,52952,12438,24073,1228603
98,8/5/2020,83976,56342,12776,25837,1256972
99,9/5/2020,83976,59662,13112,27474,1283929
100,10/5/2020,83991,62939,13645,29465,1309541
